"charity_name","total_raised"
"Smith LLC","470383.32"
"Tran-Jones","268032.67"
"Young-Huynh","220047.86"
"Garcia, Butler and Koch","219077.30"
"Morton-Howard","197255.07"
"Smith, Evans and Johnson","184997.22"
"Haley Ltd","176724.41"
"Nelson PLC","151176.51"
"Conley-Nelson","145302.73"
"Lamb, King and Shields","134991.93"
"Green, Miller and Hernandez","120875.36"
"Nichols and Sons","118246.02"
"Smith, Smith and Foley","91376.04"
"Jones PLC","90781.35"
"Bush-Mitchell","83479.98"
"Mendoza Ltd","73196.62"
"Garrett-Callahan","57347.09"
"Gamble Ltd","47575.32"
"Stafford, Hurley and Grant","38811.61"
"Tucker PLC","38353.09"
"Gonzalez, Roberts and Rasmussen","25183.66"
